i-traits	type	date	angle	MLP
T1-Area	HSI	T1	side	0.387
T1-T.1	HSI	T1	side	0.35
T1-T.2	HSI	T1	side	0.3194
T1-T.3	HSI	T1	side	0.3174
T1-T.4	HSI	T1	side	0.463
T1-T.5	HSI	T1	side	0.3844
T1-T.6	HSI	T1	side	0.3748
T1-T.7	HSI	T1	side	0.3642
T1-T.8	HSI	T1	side	0.4354
T1-T.9	HSI	T1	side	0.352
T1-T.10	HSI	T1	side	0.3612
T1-T.11	HSI	T1	side	0.3252
T1-T.12	HSI	T1	side	0.3814
T1-T.13	HSI	T1	side	0.3866
T1-T.14	HSI	T1	side	0.3154
T1-T.15	HSI	T1	side	0.3848
T1-T.16	HSI	T1	side	0.3852
T1-T.17	HSI	T1	side	0.436
T1-T.18	HSI	T1	side	0.3884
T1-T.19	HSI	T1	side	0.3896
T1-T.20	HSI	T1	side	0.389
T1-T.21	HSI	T1	side	0.32
T1-T.22	HSI	T1	side	0.384
T1-T.23	HSI	T1	side	0.3206
T1-T.24	HSI	T1	side	0.4254
T1-T.25	HSI	T1	side	0.3692
T1-T.26	HSI	T1	side	0.4028
T1-T.27	HSI	T1	side	0.4134
T1-T.28	HSI	T1	side	0.3758
T1-T.29	HSI	T1	side	0.4484
T1-T.30	HSI	T1	side	0.4342
T1-T.31	HSI	T1	side	0.4108
T1-T.32	HSI	T1	side	0.392
T1-T.33	HSI	T1	side	0.3868
T1-T.34	HSI	T1	side	0.3778
T1-T.35	HSI	T1	side	0.3758
T1-T.36	HSI	T1	side	0.3814
T1-T.37	HSI	T1	side	0.3898
T1-T.38	HSI	T1	side	0.4418
T1-T.39	HSI	T1	side	0.3348
T1-T.40	HSI	T1	side	0.3546
T1-T.41	HSI	T1	side	0.3928
T1-T.42	HSI	T1	side	0.4586
T1-T.43	HSI	T1	side	0.4578
T1-T.44	HSI	T1	side	0.4256
T1-T.45	HSI	T1	side	0.3836
T1-T.46	HSI	T1	side	0.4246
T1-T.47	HSI	T1	side	0.4318
T1-T.48	HSI	T1	side	0.4812
T1-T.49	HSI	T1	side	0.4124
T1-T.50	HSI	T1	side	0.4344
T1-T.51	HSI	T1	side	0.3854
T1-T.52	HSI	T1	side	0.2974
T1-T.53	HSI	T1	side	0.3662
T1-T.54	HSI	T1	side	0.417
T1-T.55	HSI	T1	side	0.3528
T1-T.56	HSI	T1	side	0.4038
T1-T.57	HSI	T1	side	0.3942
T1-T.58	HSI	T1	side	0.4178
T1-T.59	HSI	T1	side	0.3992
T1-T.60	HSI	T1	side	0.3944
T1-T.61	HSI	T1	side	0.4014
T1-T.62	HSI	T1	side	0.3604
T1-T.63	HSI	T1	side	0.3886
T1-T.64	HSI	T1	side	0.3266
T1-T.65	HSI	T1	side	0.3626
T1-T.66	HSI	T1	side	0.3736
T1-T.67	HSI	T1	side	0.3898
T1-T.68	HSI	T1	side	0.4108
T1-T.69	HSI	T1	side	0.4316
T1-T.70	HSI	T1	side	0.446
T1-T.71	HSI	T1	side	0.462
T1-T.72	HSI	T1	side	0.4224
T1-T.73	HSI	T1	side	0.4218
T1-T.74	HSI	T1	side	0.4194
T1-T.75	HSI	T1	side	0.4192
T1-T.76	HSI	T1	side	0.4164
T1-T.77	HSI	T1	side	0.438
T1-T.78	HSI	T1	side	0.3882
T1-T.79	HSI	T1	side	0.3392
T1-T.80	HSI	T1	side	0.4272
T1-T.81	HSI	T1	side	0.4504
T1-T.82	HSI	T1	side	0.4168
